Name,Year,Episodes,Type,Rating,Image-src,Description,Name-href
61. Leyla and Mecnun,2011–2023,144 eps,TV-PG,9.1,"https://m.media-amazon.com/images/M/MV5BZGZlN2QzYTQtNmZkMy00YjdiLWIwOGUtMzlhZTJlMmIyNmJhXkEyXkFqcGdeQXVyOTQ2MjQ3MTI@._V1_QL75_UY207_CR14,0,140,207_.jpg","Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",https://www.imdb.com/title/tt1831164/?ref_=chttvtp_t_61
62. Fawlty Towers,1975–1979,12 eps,TV-PG,8.8,"https://m.media-amazon.com/images/M/MV5BNzJiYjAxNjUtNjFlNC00NWMwLTgxMTAtNjgyYmUzNWE0OWFjXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX140_CR0,1,140,207_.jpg","Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",https://www.imdb.com/title/tt0072500/?ref_=chttvtp_t_62
63. Pride and Prejudice,1995,6 eps,TV-14,8.8,"https://m.media-amazon.com/images/M/MV5BMDM0MjFlOGYtNTg2ZC00MmRkLTg5OTQtM2U5ZjUyYTgxZThiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY207_CR3,0,140,207_.jpg","While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",https://www.imdb.com/title/tt0112130/?ref_=chttvtp_t_63
64. Freaks and Geeks,1999–2000,18 eps,TV-MA,8.8,"https://m.media-amazon.com/images/M/MV5BZWJhOGFiZWMtYTY5Ni00NGU1LWE5OWItNzA5NThkNWUwYzc4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR3,0,140,207_.jpg",A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,https://www.imdb.com/title/tt0193676/?ref_=chttvtp_t_64
65. BoJack Horseman,2014–2020,77 eps,TV-PG,8.8,"https://m.media-amazon.com/images/M/MV5BYWQwMDNkM2MtODU4OS00OTY3LTgwOTItNjE2Yzc0MzRkMDllXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful... Read all",https://www.imdb.com/title/tt3398228/?ref_=chttvtp_t_65
66. Blackadder Goes Forth,1989,6 eps,TV-MA,8.8,"https://m.media-amazon.com/images/M/MV5BNDAzY2RjNjItYWJlZC00NDNiLWIwZTYtNDM3M2YyYTY5ZDVhXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_QL75_UX140_CR0,1,140,207_.jpg","Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",https://www.imdb.com/title/tt0096548/?ref_=chttvtp_t_66
67. Twin Peaks,1990–1991,30 eps,TV-14,8.8,"https://m.media-amazon.com/images/M/MV5BMTExNzk2NjcxNTNeQTJeQWpwZ15BbWU4MDcxOTczOTIx._V1_QL75_UY207_CR11,0,140,207_.jpg",An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,https://www.imdb.com/title/tt0098936/?ref_=chttvtp_t_67
68. One Piece,1999–,1076 eps,TV-MA,8.9,"https://m.media-amazon.com/images/M/MV5BODcwNWE3OTMtMDc3MS00NDFjLWE1OTAtNDU3NjgxODMxY2UyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX140_CR0,1,140,207_.jpg","Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Pie... Read all",https://www.imdb.com/title/tt0388629/?ref_=chttvtp_t_68
69. The Last of Us,2023–,10 eps,TV-MA,8.8,"https://m.media-amazon.com/images/M/MV5BZGUzYTI3M2EtZmM0Yy00NGUyLWI4ODEtN2Q3ZGJlYzhhZjU3XkEyXkFqcGdeQXVyNTM0OTY1OQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg","After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",https://www.imdb.com/title/tt3581920/?ref_=chttvtp_t_69
70. Narcos,2015–2017,30 eps,TV-PG,8.8,"https://m.media-amazon.com/images/M/MV5BNmFjODU3YzgtMGUwNC00ZGI3LWFkZjQtMjkxZDc3NmQ1MzcyXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_QL75_UX140_CR0,0,140,207_.jpg","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",https://www.imdb.com/title/tt2707408/?ref_=chttvtp_t_70
71. Dragon Ball Z,1989–1996,277 eps,TV-MA,8.8,"https://m.media-amazon.com/images/M/MV5BNGM5MTEyZDItZWNhOS00NzNkLTgwZTAtNWIzY2IzZmExOWMxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR3,0,140,207_.jpg","With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",https://www.imdb.com/title/tt0214341/?ref_=chttvtp_t_71
72. Black Mirror,2011–,27 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BZTgyNTBkNzctN2I3NC00NTA1LWJiMDMtYzA2MmYyZjc1NWQzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UY207_CR13,0,140,207_.jpg","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",https://www.imdb.com/title/tt2085059/?ref_=chttvtp_t_72
73. Chappelle's Show,2003–2006,33 eps,TV-PG,8.8,"https://m.media-amazon.com/images/M/MV5BOWNjYTg5NGMtOWRjNy00ZGNlLTg2MmYtZjQ5NTM0MTQxOGM2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR3,0,140,207_.jpg",Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,https://www.imdb.com/title/tt0353049/?ref_=chttvtp_t_73
74. Dragon Ball Z,1989–1996,291 eps,Not Rated,8.8,"https://m.media-amazon.com/images/M/MV5BZTI2Yzc1MTctMTIzOS00ZDljLTkzMDgtZDdiMWJiZWMxNjU2XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,0,140,207_.jpg","The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaugh... Read all",https://www.imdb.com/title/tt0121220/?ref_=chttvtp_t_74
"75. I, Claudius",1976,13 eps,TV-14,8.8,"https://m.media-amazon.com/images/M/MV5BZWM1MDY1MjYtYTAzZC00MDJiLTk4MjAtOGQzNDI4YWU1MWQ0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR1,0,140,207_.jpg","The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.",https://www.imdb.com/title/tt0074006/?ref_=chttvtp_t_75
76. South Park,1997–,330 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BZjNhODYzZGItZWQ3Ny00ZjViLTkxMTUtM2EzN2RjYjU2OGZiXkEyXkFqcGdeQXVyMTI5MTc0OTIy._V1_QL75_UX140_CR0,1,140,207_.jpg","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",https://www.imdb.com/title/tt0121955/?ref_=chttvtp_t_76
77. Kota Factory,2019–2021,10 eps,TV-PG,9,"https://m.media-amazon.com/images/M/MV5BOGVmMGYwZTEtOGFlYS00ODRhLTg3M2MtMzc1OGNhNzU3N2IzXkEyXkFqcGdeQXVyNDY4NjAxNTc@._V1_QL75_UX140_CR0,0,140,207_.jpg","Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day ... Read all",https://www.imdb.com/title/tt9432978/?ref_=chttvtp_t_77
78. Over the Garden Wall,2014,10 eps,TV-MA,8.8,"https://m.media-amazon.com/images/M/MV5BYzhjNzI0NWEtMzEyYy00OGViLThhMjctMWQxNGQ3Y2IzOTY4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR3,0,140,207_.jpg",Two brothers find themselves lost in a mysterious land and try to find their way home.,https://www.imdb.com/title/tt3718778/?ref_=chttvtp_t_78
79. Six Feet Under,2001–2005,63 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BN2FmMjg0Y2YtYmMyYi00MTBjLTllYzMtN2VjYzRhOTVmNWRlXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_QL75_UY207_CR3,0,140,207_.jpg",A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,https://www.imdb.com/title/tt0248654/?ref_=chttvtp_t_79
80. Ted Lasso,2020–2023,34 eps,TV-MA,8.8,"https://m.media-amazon.com/images/M/MV5BMTdmZjBjZjQtY2JiNS00Y2ZlLTg2NzgtMjUzMGY2OTVmOWJiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.",https://www.imdb.com/title/tt10986410/?ref_=chttvtp_t_80
81. Peaky Blinders,2013–2022,36 eps,TV-MA,8.8,"https://m.media-amazon.com/images/M/MV5BZjYzZDgzMmYtYjY5Zi00YTk1LThhMDYtNjFlNzM4MTZhYzgyXkEyXkFqcGdeQXVyMTE5NDQ1MzQ3._V1_QL75_UY207_CR13,0,140,207_.jpg","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",https://www.imdb.com/title/tt2442560/?ref_=chttvtp_t_81
82. Rome,2005–2007,22 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BYTM4MmU1NWYtNzJjYy00YWFhLThjOGEtZmMxOGI1NzE0NGNiXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_QL75_UX140_CR0,1,140,207_.jpg",A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,https://www.imdb.com/title/tt0384766/?ref_=chttvtp_t_82
83. Oz,1997–2003,56 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BYjY3N2M2YjgtZTFjZS00ODA1LWJjMDgtNDgxZDllZWFiMmYyXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_QL75_UX140_CR0,1,140,207_.jpg",A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,https://www.imdb.com/title/tt0118421/?ref_=chttvtp_t_83
84. Steins;Gate,2011–2015,26 eps,TV-MA,8.8,"https://m.media-amazon.com/images/M/MV5BMjUxMzE4ZDctODNjMS00MzIwLThjNDktODkwYjc5YWU0MDc0XkEyXkFqcGdeQXVyNjc3OTE4Nzk@._V1_QL75_UX140_CR0,1,140,207_.jpg","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",https://www.imdb.com/title/tt1910272/?ref_=chttvtp_t_84
85. Gullak,2019–,15 eps,TV-MA,9.1,"https://m.media-amazon.com/images/M/MV5BN2QwZmNhZjctZDZkMi00Mjk2LTg4OWMtNGEzMjk1ZWIwN2IzXkEyXkFqcGdeQXVyNDY4NjAxNTc@._V1_QL75_UX140_CR0,0,140,207_.jpg","Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.",https://www.imdb.com/title/tt10530900/?ref_=chttvtp_t_85
86. Dark,2017–2020,26 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BOTk2NzUyOTctZDdlMS00MDJlLTgzNTEtNzQzYjFhNjA0YjBjXkEyXkFqcGdeQXVyMjg1NDcxNDE@._V1_QL75_UX140_CR0,0,140,207_.jpg","A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",https://www.imdb.com/title/tt5753856/?ref_=chttvtp_t_86
87. Vinland Saga,2019–,48 eps,TV-14,8.8,"https://m.media-amazon.com/images/M/MV5BNzQwODI4Y2YtNjFmNC00NTExLWE0NzYtMTUzNjA0YzBhY2YyXkEyXkFqcGdeQXVyMTMxMTYzNDkz._V1_QL75_UY207_CR3,0,140,207_.jpg",Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,https://www.imdb.com/title/tt10233448/?ref_=chttvtp_t_87
88. The Boys,2019–,32 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BOTEyNDJhMDAtY2U5ZS00OTMzLTkwODktMjU3MjFkZWVlMGYyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UY207_CR13,0,140,207_.jpg",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,https://www.imdb.com/title/tt1190634/?ref_=chttvtp_t_88
89. Panchayat,2020–,16 eps,TV-14,8.9,"https://m.media-amazon.com/images/M/MV5BZDkxODJmNDktZDcxMy00MGJkLWI3NzEtNzVkYTdkZWI0ZmVkXkEyXkFqcGdeQXVyNDY4NjAxNTc@._V1_QL75_UY207_CR2,0,140,207_.jpg","A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Prad... Read all",https://www.imdb.com/title/tt12004706/?ref_=chttvtp_t_89
90. Fleabag,2016–2019,12 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BMjA4MzU5NzQxNV5BMl5BanBnXkFtZTgwOTg3MDA5NzM@._V1_QL75_UX140_CR0,0,140,207_.jpg",Series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,https://www.imdb.com/title/tt5687612/?ref_=chttvtp_t_90
91. Arrested Development,2003–2019,84 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BNTFlYTE2YTItZmQ1NS00ZWQ5LWI3OGUtYTQzNDMyZmEyYTZjXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_QL75_UX140_CR0,0,140,207_.jpg","Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",https://www.imdb.com/title/tt0367279/?ref_=chttvtp_t_91
92. The Simpsons,1989–,751 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BYjFkMTlkYWUtZWFhNy00M2FmLThiOTYtYTRiYjVlZWYxNmJkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX140_CR0,1,140,207_.jpg",The satiric adventures of a working-class family in the misfit city of Springfield.,https://www.imdb.com/title/tt0096697/?ref_=chttvtp_t_92
93. Battlestar Galactica,2004–2009,74 eps,TV-PG,8.7,"https://m.media-amazon.com/images/M/MV5BZjBjMjk4YWQtZjY1MC00NTI5LWEwZDMtYWMyYjk2MjkzMThhXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_QL75_UY207_CR1,0,140,207_.jpg","When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fab... Read all",https://www.imdb.com/title/tt0407362/?ref_=chttvtp_t_93
94. The Shield,2002–2008,89 eps,TV-PG,8.7,"https://m.media-amazon.com/images/M/MV5BMTcwNzQwODI5NV5BMl5BanBnXkFtZTcwNzQxMjI5MQ@@._V1_QL75_UX140_CR0,1,140,207_.jpg",Drama series following the lives and cases of dirty cop Vic Mackey and the corrupt LAPD unit under his command.,https://www.imdb.com/title/tt0286486/?ref_=chttvtp_t_94
95. One Punch Man,2015–2019,25 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BZjJlNzE5YzEtYzQwYS00NTBjLTk5YzAtYzUwOWQyM2E3OGI2XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX140_CR0,1,140,207_.jpg","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",https://www.imdb.com/title/tt4508902/?ref_=chttvtp_t_95
96. Downton Abbey,2010–2015,52 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BY2U1NmIwYzgtNjFkOS00YWUxLTg0YTMtZmE5NTA3YjRmY2NlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR3,0,140,207_.jpg",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,https://www.imdb.com/title/tt1606375/?ref_=chttvtp_t_96
97. House,2004–2012,176 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BMDA4NjQzN2ItZDhhNC00ZjVlLWFjNTgtMTEyNDQyOGNjMDE1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR1,0,140,207_.jpg",An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,https://www.imdb.com/title/tt0412142/?ref_=chttvtp_t_97
98. Bleach: Thousand-Year Blood War,2022–,15 eps,TV-MA,9.1,"https://m.media-amazon.com/images/M/MV5BODFmYTUwYzMtM2M2My00NGExLWIzMDctYmRjNTNhZDc4MGI2XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UY207_CR3,0,140,207_.jpg","The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approac... Read all",https://www.imdb.com/title/tt14986406/?ref_=chttvtp_t_98
99. Severance,2022–,19 eps,TV-PG,8.7,"https://m.media-amazon.com/images/M/MV5BMjkwZjcwMGQtNDAzOC00YjJiLThiYTgtNWU3ZjRiZmY2YzEzXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UX140_CR0,1,140,207_.jpg","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journe... Read all",https://www.imdb.com/title/tt11280740/?ref_=chttvtp_t_99
100. Invincible,2021–,17 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BMmE1ODVhMGYtODYyYS00Mjc4LWIzN2EtYWZkZDg1MTUyNDkxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY207_CR0,0,140,207_.jpg",An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,https://www.imdb.com/title/tt6741278/?ref_=chttvtp_t_100
101. Sarabhai V/S Sarabhai,2004–2017,79 eps,TV-MA,9,"https://m.media-amazon.com/images/M/MV5BNjYxNzBhMmQtZjM4Yy00MGZiLWFmNDAtYmVkZGM0MWNlMTU3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR1,0,140,207_.jpg","The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi backgro... Read all",https://www.imdb.com/title/tt1518542/?ref_=chttvtp_t_101
102. Stranger Things,2016–2024,42 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY207_CR13,0,140,207_.jpg","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",https://www.imdb.com/title/tt4574334/?ref_=chttvtp_t_102
103. Mad Men,2007–2015,92 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BNTgxNDZlODQtNDcwOC00NWQ5LTljNWMtMDhjY2U5YTUzMTc4XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UX140_CR0,1,140,207_.jpg","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",https://www.imdb.com/title/tt0804503/?ref_=chttvtp_t_103
104. The Mandalorian,2019–,24 eps,TV-PG,8.7,"https://m.media-amazon.com/images/M/MV5BN2M5YWFjN2YtYzU2YS00NzBlLTgwZWUtYWQzNWFhNDkyYjg3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",https://www.imdb.com/title/tt8111088/?ref_=chttvtp_t_104
105. Peep Show,2003–2015,54 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BZjYwMWJhOWMtZTc5ZC00MGY0LTg0ZjktMzFhODhhZGZhNDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX140_CR0,1,140,207_.jpg",Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope wi... Read all,https://www.imdb.com/title/tt0387764/?ref_=chttvtp_t_105
106. Star Trek: The Next Generation,1987–1994,176 eps,TV-PG,8.7,"https://m.media-amazon.com/images/M/MV5BOWFhYjE4NzMtOWJmZi00NzEyLTg5NTctYmIxMTU1ZDIxMDAyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UY207_CR3,0,140,207_.jpg","Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.",https://www.imdb.com/title/tt0092455/?ref_=chttvtp_t_106
107. Berserk,1997–1998,25 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BZWIzNzQ3ZDctODYxYi00YjUwLTg1MDgtMDg4Mzc0NWM4ZGY0XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR6,0,140,207_.jpg","Guts, a wandering mercenary, joins the Band of the Hawk after being defeated in a duel by Griffith, the group's leader and founder. Together, they dominate every battle, but something menaci... Read all",https://www.imdb.com/title/tt0318871/?ref_=chttvtp_t_107
108. The Adventures of Sherlock Holmes,1984–1985,13 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BMmQ0MmI3YjktNDlkNi00YTBkLTk5OGItNjhkNmM1NGI1M2IwXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX140_CR0,1,140,207_.jpg","Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.",https://www.imdb.com/title/tt0086661/?ref_=chttvtp_t_108
109. The Marvelous Mrs. Maisel,2017–2023,43 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BOWFjODRhMDktMTE3My00ODQzLThmODctYmM2ZmU5YmY0ZGVkXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX140_CR0,1,140,207_.jpg","After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?",https://www.imdb.com/title/tt5788792/?ref_=chttvtp_t_109
110. Mahabharat,1988–1990,94 eps,TV-14,9,"https://m.media-amazon.com/images/M/MV5BMGE1MTlmNmYtMTg4Zi00NWRmLWIxMzktMTViNjRmYTQ5NDI2XkEyXkFqcGdeQXVyODAzNzAwOTU@._V1_QL75_UY207_CR3,0,140,207_.jpg","When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of th... Read all",https://www.imdb.com/title/tt0158417/?ref_=chttvtp_t_110
111. Friday Night Lights,2006–2011,76 eps,TV-PG,8.7,"https://m.media-amazon.com/images/M/MV5BYTkxZDVhZGItZjM3Yi00YTU1LTk2ZDYtYTI4NTg2Mjc0NWY1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR8,0,140,207_.jpg","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",https://www.imdb.com/title/tt0758745/?ref_=chttvtp_t_111
112. The Grand Tour,2016–,45 eps,TV-Y7-FV,8.7,"https://m.media-amazon.com/images/M/MV5BYjkyOWIyZGYtYzU3ZS00NWM2LThjZGEtMDZjZjg2MTI2NzBhXkEyXkFqcGdeQXVyNjI4OTg2Njg@._V1_QL75_UX140_CR0,1,140,207_.jpg","Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",https://www.imdb.com/title/tt5712554/?ref_=chttvtp_t_112
113. Top Gear,2002–,327 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BYzkwZDgwZmQtOWE4Yy00ZjgyLTgxZTYtZTRiMTg5MWY4NTFiXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR3,0,140,207_.jpg","The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",https://www.imdb.com/title/tt1628033/?ref_=chttvtp_t_113
114. Aspirants,2021–,10 eps,TV-14,9.2,"https://m.media-amazon.com/images/M/MV5BNWRkMjA0NjItMmViYS00MDQyLTgyMWYtOWFmOTA4NmU5MjRjXkEyXkFqcGdeQXVyNDY4NjAxNTc@._V1_QL75_UY207_CR3,0,140,207_.jpg",It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,https://www.imdb.com/title/tt14392248/?ref_=chttvtp_t_114
115. Justice League Unlimited,2004–2006,39 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BMjJlNjJkNmItNzMyYi00Y2IyLWIwMGQtODllNWI1YjRjNDk2XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_QL75_UX140_CR0,1,140,207_.jpg",A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics univers... Read all,https://www.imdb.com/title/tt6025022/?ref_=chttvtp_t_115
116. House of Cards,2013–2018,73 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BNmM4ODU1MzItODYyYi00Y2U0LWFjZjItYTRhZWIwOGMyZTRhXkEyXkFqcGdeQXVyNjc2NTQ4Nzk@._V1_QL75_UY207_CR5,0,140,207_.jpg",A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,https://www.imdb.com/title/tt1856010/?ref_=chttvtp_t_116
117. Behzat Ç: An Ankara Detective Story,2010–2019,105 eps,TV-14,8.9,"https://m.media-amazon.com/images/M/MV5BZDZjY2I5ZjEtZGE2MS00ZjRmLTlmMGEtMDQ5ZmZhZWJjYzk3XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY207_CR3,0,140,207_.jpg",An inharmonious police team in Ankara Police Force and its discredited police chief fight crime.,https://www.imdb.com/title/tt1795096/?ref_=chttvtp_t_117
118. 1883,2021–2022,10 eps,TV-MA,8.7,"https://m.media-amazon.com/images/M/MV5BNDZkZDdkMjYtMGI3Yi00MmVkLTkzZjQtMGI0NGViNzIzNjhjXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UY207_CR1,0,140,207_.jpg","The post-Civil war generation of the Dutton family travels to Texas, and joins a wagon train undertaking the arduous journey west to Oregon, before settling in Montana to establish what woul... Read all",https://www.imdb.com/title/tt13991232/?ref_=chttvtp_t_118
119. The Thick of It,2005–2012,24 eps,TV-14,8.7,"https://m.media-amazon.com/images/M/MV5BZjc0ZDA5OTItYzhjNi00ZTJjLTg4OTYtZjk3NzBhODRlMTViXkEyXkFqcGdeQXVyMjc5OTMxMzQ@._V1_QL75_UY207_CR3,0,140,207_.jpg",The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,https://www.imdb.com/title/tt0459159/?ref_=chttvtp_t_119
